escola,genero,idade,endereco,tamanho_familia,status_parental,escolaridade_mae,escolaridade_pai,profissao_mae,profissao_pai,motivo_escolha_escola,responsavel_legal,tempo_transporte,tempo_estudo,reprovacoes,apoio_escolar,apoio_familiar,aulas_particulares,atividades_extracurriculares,frequentou_creche,interesse_ensino_superior,acesso_internet,relacionamento_romantico,relacao_familiar,tempo_livre,frequencia_saidas,alcool_dias_uteis,alcool_fim_semana,saude,faltas,nota1,nota2,nota_final,aprovacao
Gabriel Pereira,Homem,16,Urbano,Mais de 3 membros,Juntos,2,2,Serviços,Outra profissão,Reputação da escola,Pai,2,2,1,Não,Não,Sim,Sim,Não,Sim,Sim,Não,4,4,2,1,1,3,12,11,10,10,Aprovado
Gabriel Pereira,Homem,15,Urbano,3 membros ou menos,Juntos,2,2,Serviços,Serviços,Próximo de casa,Mãe,2,2,0,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,5,3,3,1,3,4,4,15,15,15,Aprovado
Gabriel Pereira,Homem,18,Urbano,3 membros ou menos,Juntos,3,3,Serviços,Área da saúde,Próximo de casa,Pai,1,2,1,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,3,2,4,2,4,4,13,6,6,8,Reprovado
Gabriel Pereira,Homem,18,Urbano,3 membros ou menos,Juntos,2,1,Dona de casa,Outra profissão,Curso específico,Mãe,4,2,0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,4,3,2,4,5,3,14,10,8,9,Reprovado
Gabriel Pereira,Homem,17,Rural,Mais de 3 membros,Juntos,2,1,Outra profissão,Outra profissão,Curso específico,Mãe,1,1,0,Não,Não,Não,Não,Não,Sim,Sim,Não,4,4,2,2,4,5,0,8,12,12,Aprovado
Gabriel Pereira,Mulher,16,Urbano,Mais de 3 membros,Juntos,3,3,Outra profissão,Outra profissão,Próximo de casa,Pai,1,2,0,Não,Sim,Sim,Não,Sim,Sim,Não,Não,4,3,2,1,2,5,4,6,10,10,Aprovado
Gabriel Pereira,Mulher,16,Urbano,3 membros ou menos,Juntos,4,4,Área da saúde,Área da saúde,Outro motivo,Mãe,1,3,0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,5,4,5,1,1,4,4,14,15,16,Aprovado
Gabriel Pereira,Mulher,16,Urbano,3 membros ou menos,Juntos,4,4,Professor(a),Professor(a),Reputação da escola,Mãe,1,2,0,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,4,5,2,1,2,3,0,9,9,10,Aprovado
Mousinho da Silveira,Mulher,18,Rural,3 membros ou menos,Juntos,4,4,Professor(a),Serviços,Curso específico,Mãe,1,2,0,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,5,4,3,3,4,2,4,8,9,10,Aprovado
Gabriel Pereira,Homem,15,Urbano,Mais de 3 membros,Juntos,4,2,Professor(a),Outra profissão,Próximo de casa,Mãe,1,2,0,Não,Sim,Sim,Não,Sim,Sim,Não,Não,4,3,3,2,2,5,2,15,15,14,Aprovado
Gabriel Pereira,Homem,19,Urbano,Mais de 3 membros,Juntos,1,2,Outra profissão,Serviços,Curso específico,Outro responsável,1,2,1,Não,Não,Não,Não,Não,Sim,Sim,Não,4,5,2,2,2,4,3,13,11,11,Aprovado
Gabriel Pereira,Homem,15,Urbano,3 membros ou menos,Separados,4,2,Área da saúde,Área da saúde,Outro motivo,Pai,2,1,1,Não,Não,Não,Não,Sim,Sim,Não,Não,5,5,5,3,4,5,6,11,11,10,Aprovado
Gabriel Pereira,Mulher,16,Urbano,Mais de 3 membros,Juntos,2,3,Outra profissão,Outra profissão,Reputação da escola,Mãe,1,2,0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,4,4,3,1,3,4,6,8,10,10,Aprovado
Gabriel Pereira,Homem,17,Rural,3 membros ou menos,Juntos,1,2,Outra profissão,Outra profissão,Reputação da escola,Mãe,1,1,0,Não,Não,Não,Não,Sim,Sim,Não,Não,2,2,2,3,3,5,8,16,12,13,Aprovado
Mousinho da Silveira,Mulher,19,Rural,Mais de 3 membros,Juntos,2,3,Serviços,Outra profissão,Curso específico,Mãe,1,3,1,Não,Não,Não,Sim,Não,Sim,Sim,Não,5,4,2,1,2,5,0,7,5,0,Reprovado
Gabriel Pereira,Homem,19,Urbano,3 membros ou menos,Separados,4,3,Serviços,Dono de casa,Reputação da escola,Mãe,1,2,0,Não,Sim,Não,Não,Sim,Sim,Sim,Não,4,3,1,1,1,1,12,11,11,11,Aprovado
Gabriel Pereira,Mulher,18,Urbano,Mais de 3 membros,Juntos,3,3,Serviços,Serviços,Próximo de casa,Mãe,1,2,0,Não,Não,Não,Sim,Sim,Sim,Sim,Não,5,3,4,1,1,4,0,7,0,0,Reprovado
Gabriel Pereira,Homem,16,Urbano,3 membros ou menos,Juntos,2,2,Outra profissão,Outra profissão,Reputação da escola,Mãe,2,2,0,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,5,4,4,2,4,5,0,13,13,12,Aprovado
Gabriel Pereira,Homem,18,Urbano,3 membros ou menos,Juntos,4,4,Professor(a),Professor(a),Próximo de casa,Mãe,1,1,0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,1,4,2,2,2,1,5,16,15,16,Aprovado
Gabriel Pereira,Homem,17,Rural,Mais de 3 membros,Juntos,1,3,Outra profissão,Outra profissão,Curso específico,Pai,3,2,1,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,5,2,4,1,4,5,20,9,7,8,Reprovado
